id;name;start_date;en_date
1;Bacon withdrawal Metrics;deposit front-end;transmitter deposit override
2;Rustic invoice HDD;Car;Global
3;matrix;Chad static;Global Cambridgeshire fault-tolerant
4;Developer;front-end Frozen;Pizza navigating
5;Ergonomic Liaison EXE;SQL portal;Spring THX Shoes
6;primary Grocery Camp;Loan;protocol static Accounts
7;Internal Colombian;Ergonomic;synthesize
8;Bacon pink Account;Open-source Dinar;sensor Functionality Savings
9;Plastic connect Account;Tools Avon;Berkshire program Sausages
10;Industrial bypass;Mobility protocol;back-end tertiary Fresh
